"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Vraska Joins Up","BG","R","72832","5.67","8332","8.94","3759","7.6%","45.5%","555","38.6%","875","46.1%","1430","43.1%","2314","46.9%","-3.7pp"
"Vraska, the Silencer","BG","M","13631","2.29","5028","2.44","23452","78.9%","52.8%","4078","52.6%","5782","56.0%","9860","54.6%","13526","51.4%","3.3pp"
"Wrangler of the Damned","WU","U","146027","5.20","22618","7.15","73505","56.1%","50.1%","11862","48.1%","20123","52.4%","31985","50.8%","41426","49.4%","1.4pp"
"Wylie Duke, Atiin Hero","WG","R","28412","2.40","12141","2.45","63683","85.5%","56.6%","11255","59.3%","14597","60.0%","25852","59.7%","37787","54.4%","5.2pp"
"Bandit's Haul","","U","159154","5.31","27979","7.15","109653","65.7%","53.2%","20016","53.5%","28398","54.5%","48414","54.1%","61083","52.4%","1.7pp"
"Boom Box","","U","195965","7.67","21992","11.35","12577","9.6%","51.3%","2004","48.6%","3226","53.1%","5230","51.4%","7316","51.2%","0.1pp"
"Gold Pan","","C","474666","7.57","58313","10.97","78268","22.4%","52.7%","14173","53.4%","17704","51.7%","31877","52.4%","46168","52.9%","-0.4pp"
"Lavaspur Boots","","U","190944","7.34","18969","11.20","13227","11.6%","53.3%","2181","54.1%","2927","51.2%","5108","52.5%","8098","53.9%","-1.4pp"
"Luxurious Locomotive","","U","191720","7.22","21553","10.80","22457","17.4%","51.0%","3495","48.0%","5428","50.8%","8923","49.7%","13539","51.9%","-2.2pp"
"Mobile Homestead","","U","146140","4.68","29907","6.28","137797","75.4%","55.6%","25142","58.9%","31268","53.8%","56410","56.1%","81317","55.2%","0.9pp"
"Oasis Gardener","","C","439791","6.10","64116","8.86","225435","58.6%","53.5%","40749","53.5%","55035","54.6%","95784","54.1%","129175","53.0%","1.1pp"
"Redrock Sentinel","","U","186300","6.66","29693","9.36","90092","50.3%","54.2%","15764","52.8%","22770","56.2%","38534","54.8%","51406","53.6%","1.1pp"
"Silver Deputy","","C","459683","6.90","57246","10.08","135584","39.9%","51.4%","25740","49.4%","31618","50.9%","57358","50.2%","77940","52.2%","-2.0pp"
"Sterling Hound","","C","477041","7.55","68768","10.68","139933","33.8%","53.7%","24892","52.6%","33872","54.7%","58764","53.8%","80958","53.7%","0.2pp"
"Tomb Trawler","","U","200475","8.33","25364","11.77","14887","9.8%","51.4%","2600","46.7%","3973","51.6%","6573","49.7%","8244","52.7%","-3.0pp"
"Abraded Bluffs","","C","219603","5.03","41592","7.02","196905","78.3%","54.6%","35258","56.5%","44247","53.0%","79505","54.6%","112902","54.3%","0.3pp"
